parent_team_id,parent_team_name,child_team_id,child_team_name,_last_modified_at
683,Olympiacos Piraeus,683,Olympiacos Piraeus,2025-08-06 19:02:08
683,Olympiacos Piraeus,91868,Olympiacos Piraeus B,2025-08-06 19:02:08
683,Olympiacos Piraeus,7661,Olympiacos Piraeus U19,2025-08-06 19:02:08
683,Olympiacos Piraeus,62555,Olympiacos Piraeus U17,2025-08-06 19:02:08
683,Olympiacos Piraeus,41594,Olympiacos Piraeus UEFA U19,2025-08-06 19:02:08
379,West Ham United,379,West Ham United,2025-08-06 18:17:42
379,West Ham United,9267,West Ham United U21,2025-08-06 18:17:42
379,West Ham United,9955,West Ham United U18,2025-08-06 18:17:42
379,West Ham United,52975,West Ham United Youth,2025-08-06 18:17:42
12423,Kecskeméti TE,12423,Kecskeméti TE,2025-08-06 17:40:04
12423,Kecskeméti TE,24359,Kecskeméti TE II,2025-08-06 17:40:04
12423,Kecskeméti TE,21493,Kecskeméti TE U19,2025-08-06 17:40:04
12423,Kecskeméti TE,63837,Kecskeméti TE U17,2025-08-06 17:40:04
12423,Kecskeméti TE,56246,Kecskeméti TE Youth,2025-08-06 17:40:04
52397,Unionistas CF,52397,Unionistas CF,2025-08-06 17:24:35
52397,Unionistas CF,91655,Unionistas CF B,2025-08-06 17:24:35
52397,Unionistas CF,70129,Unionistas CF U19,2025-08-06 17:24:35
2425,Rio Ave FC,2425,Rio Ave FC,2025-08-06 15:59:56
2425,Rio Ave FC,61163,Rio Ave FC B,2025-08-06 15:59:56
2425,Rio Ave FC,68110,Rio Ave FC U23,2025-08-06 15:59:56
2425,Rio Ave FC,8105,Rio Ave FC U19,2025-08-06 15:59:56
2425,Rio Ave FC,51637,Rio Ave FC U17,2025-08-06 15:59:56
2425,Rio Ave FC,57923,Rio Ave FC Youth,2025-08-06 15:59:56
2425,Rio Ave FC,57922,Rio Ave FC Sub-15,2025-08-06 15:59:56
5499,FC Stade-Lausanne-Ouchy,5499,FC Stade-Lausanne-Ouchy,2025-08-06 14:13:44
5499,FC Stade-Lausanne-Ouchy,51721,FC Stade-Lausanne-Ouchy II,2025-08-06 14:13:44
5499,FC Stade-Lausanne-Ouchy,120537,FC Stade-Lausanne-Ouchy III,2025-08-06 14:13:44
5499,FC Stade-Lausanne-Ouchy,101805,FC Stade-Lausanne-Ouchy Jugend,2025-08-06 14:13:44
46854,Mérida AD,46854,Mérida AD,2025-08-06 16:21:14
46854,Mérida AD,120226,Mérida Promesas,2025-08-06 16:21:14
46854,Mérida AD,56099,Mérida AD U19,2025-08-06 16:21:14
1435,Go Ahead Eagles,1435,Go Ahead Eagles,2025-08-06 20:56:16
1435,Go Ahead Eagles,18179,Go Ahead Eagles Deventer U21,2025-08-06 20:56:16
1435,Go Ahead Eagles,15589,Go Ahead Eagles Deventer U19,2025-08-06 20:56:16
1435,Go Ahead Eagles,78724,Go Ahead Eagles Deventer U18,2025-08-06 20:56:16
1435,Go Ahead Eagles,57150,Go Ahead Eagles U17,2025-08-06 20:56:16
1435,Go Ahead Eagles,44887,Go Ahead Eagles Deventer Youth,2025-08-06 20:56:16
7918,AS Trencin,7918,AS Trencin,2025-08-06 19:30:10
7918,AS Trencin,132217,AS Trencin B,2025-08-06 19:30:10
7918,AS Trencin,16181,AS Trencin U19,2025-08-06 19:30:10
7918,AS Trencin,124637,AS Trencin U17,2025-08-06 19:30:10
7918,AS Trencin,101597,AS Trencin UEFA U19,2025-08-06 19:30:10
7918,AS Trencin,45730,AS Trencin Youth,2025-08-06 19:30:10
5026,Lommel SK,5026,Lommel SK,2025-08-06 14:02:01
5026,Lommel SK,55263,Lommel SK U21,2025-08-06 14:02:01
5026,Lommel SK,10522,Lommel SK U19,2025-08-06 14:02:01
5026,Lommel SK,66643,Lommel SK U18,2025-08-06 14:02:01
5026,Lommel SK,66644,Lommel SK U17,2025-08-06 14:02:01
5026,Lommel SK,66645,Lommel SK Youth,2025-08-06 14:02:01
5358,SD Huesca,5358,SD Huesca,2025-08-06 21:06:28
5358,SD Huesca,70841,SD Huesca B,2025-08-06 21:06:28
5358,SD Huesca,23880,SD Huesca U19,2025-08-06 21:06:28
