club_id,team_name,season_id,competition_name,competition_id,club_division,_last_modified_at
683,Olympiacos Piraeus (683),2024,Super League 1,GR1,Super League 1,2025-08-06 19:02:08
379,West Ham United (379),2024,Premier League,GB1,Premier League,2025-08-06 18:17:42
12423,Kecskeméti TE (12423),2024,Nemzeti Bajnokság II.,UN2,Nemzeti Bajnokság II.,2025-08-06 17:40:04
52397,Unionistas CF (52397),2024,Primera Federación - Grupo I,E3G1,Primera Federación - Grupo I,2025-08-06 17:24:35
2425,Rio Ave FC (2425),2024,Liga Portugal,PO1,Liga Portugal,2025-08-06 15:59:56
103722,Rhode Island FC (103722),2024,USL Championship,USL,USL Championship,2025-08-06 14:55:37
5499,FC Stade-Lausanne-Ouchy (5499),2024,Challenge League,C2,Challenge League,2025-08-06 14:13:44
1065,Hannover 96 II (1065),2024,Regionalliga Nord,RLN3,Regionalliga Nord,2025-08-06 20:09:33
46854,Mérida AD (46854),2024,Primera Federación - Grupo I,E3G1,Primera Federación - Grupo I,2025-08-06 16:21:14
1435,Go Ahead Eagles (1435),2024,Eredivisie,NL1,Eredivisie,2025-08-06 20:56:17
7918,AS Trencin (7918),2024,Niké Liga,SLO1,Niké Liga,2025-08-06 19:30:10
49758,Frosinone Under 17 (49758),2024,Campionato nazionale Under 17 - C,ITJ6,Campionato nazionale Under 17 - C,2025-08-06 13:51:25
5026,Lommel SK (5026),2024,Challenger Pro League,BE2,Challenger Pro League,2025-08-06 14:02:01
5358,SD Huesca (5358),2024,LaLiga2,ES2,LaLiga2,2025-08-06 21:06:29
6574,US Sassuolo (6574),2024,Serie A,IT1,Serie A,2025-08-06 16:19:05
2921,Delfino Pescara 1936 (2921),2024,Serie B,IT2,Serie B,2025-08-06 17:20:59
26594,FCM Aubervilliers (26594),2024,Championnat National 3 - Groupe D,C3PL,Championnat National 3 - Groupe D,2025-08-06 20:04:35
30293,Stade Poitevin FC (30293),2024,Championnat National 2 - Groupe A,CN2A,Championnat National 2 - Groupe A,2025-08-06 13:04:15
512,Stoke City (512),2024,Championship,GB2,Championship,2025-08-06 21:10:40
1177,Silkeborg IF (1177),2024,Superliga,DK1,Superliga,2025-08-06 21:01:01
142,Real Zaragoza (142),2024,LaLiga2,ES2,LaLiga2,2025-08-06 14:49:35
46415,TSV Uschlag (46415),2024,,,,2025-08-06 19:57:48
10330,SL Benfica B (10330),2024,Liga Portugal 2,PO2,Liga Portugal 2,2025-08-06 14:42:54
100335,CD Mafra U23 (100335),2024,,,,2025-08-06 14:31:53
1198,Lincoln City (1198),2024,League One,GB3,League One,2025-08-06 20:41:36
1032,Reading FC (1032),2024,League One,GB3,League One,2025-08-06 19:52:06
338,Dynamo Kyiv (338),2024,Premier Liga,UKR1,Premier Liga,2025-08-06 20:59:50
49430,AZ Picerno (49430),2024,Serie C - Girone C,IT3C,Serie C - Girone C,2025-08-06 18:52:34
2521,FC Alverca (2521),2024,Liga Portugal,PO1,Liga Portugal,2025-08-06 19:24:43
45805,Colorado Springs Switchbacks FC (45805),2024,USL Championship,USL,USL Championship,2025-08-06 15:54:15
2464,FC Barcelona Atlètic (2464),2024,Segunda Federación - Grupo III,E4G3,Segunda Federación - Grupo III,2025-08-06 21:04:09
14670,CA Central Norte (14670),2024,Primera Nacional,ARG2,Primera Nacional,2025-08-06 18:27:11
504,Grasshopper Club Zurich (504),2024,Super League,C1,Super League,2025-08-06 21:12:29
1531,Elche CF (1531),2024,LaLiga,ES1,LaLiga,2025-08-06 12:31:19
380,US Salernitana 1919 (380),2024,Serie C - Girone C,IT3C,Serie C - Girone C,2025-08-06 14:15:01
24012,FC Ajka (24012),2024,Nemzeti Bajnokság II.,UN2,Nemzeti Bajnokság II.,2025-08-06 17:50:42
38898,FC Anyang (38898),2024,K League 1,RSK1,K League 1,2025-08-06 14:09:14
2063,CA Huracán (2063),2024,Torneo Clausura,ARGC,Torneo Clausura,2025-08-06 12:36:25
800,Atalanta BC (800),2024,Serie A,IT1,Serie A,2025-08-06 19:20:48
71662,Club América SD (71662),2024,,,,2025-08-06 16:29:53
416,Torino FC (416),2024,Serie A,IT1,Serie A,2025-08-06 20:46:55
1423,Valenciennes FC (1423),2024,Championnat National,FR3,Championnat National,2025-08-06 18:15:13
4271,US Triestina (4271),2024,Serie C - Girone A,IT3A,Serie C - Girone A,2025-08-06 18:54:51
601,KV Kortrijk (601),2024,Challenger Pro League,BE2,Challenger Pro League,2025-08-06 12:29:06
2448,Sporting Gijón (2448),2024,LaLiga2,ES2,LaLiga2,2025-08-06 14:26:54
5677,Vila Nova Futebol Clube (GO) (5677),2024,Campeonato Brasileiro Série B,BRA2,Campeonato Brasileiro Série B,2025-08-06 19:39:40
31284,CA Central Córdoba (SdE) (31284),2024,Torneo Clausura,ARGC,Torneo Clausura,2025-08-06 19:32:38
75123,Leixões SC U23 (75123),2024,Liga Revelação U23,PT23,Liga Revelação U23,2025-08-06 15:47:41
1321,SK Dynamo Ceske Budejovice (1321),2024,Chance Narodni Liga,TS2,Chance Narodni Liga,2025-08-06 19:23:05
10920,Umm Salal SC (10920),2024,Qatar Stars League,QSL,Qatar Stars League,2025-08-06 19:31:40
18940,RFC Knokke (18940),2024,1ste Nationale VV,BE3V,1ste Nationale VV,2025-08-06 19:04:32
1771,CSD Tristan Suarez (1771),2024,Primera Nacional,ARG2,Primera Nacional,2025-08-06 16:14:24
7975,FC Vysocina Jihlava (7975),2024,Chance Narodni Liga,TS2,Chance Narodni Liga,2025-08-06 15:07:54
197,AC Sparta Prague (197),2024,Chance Liga,TS1,Chance Liga,2025-08-06 19:16:15
6688,Bilbao Athletic (6688),2024,Primera Federación - Grupo I,E3G1,Primera Federación - Grupo I,2025-08-06 20:47:48
2331,US Avellino 1912 (2331),2024,Serie B,IT2,Serie B,2025-08-06 20:20:04
2761,FK Haugesund (2761),2024,Eliteserien,NO1,Eliteserien,2025-08-06 17:03:50
20303,SC Cambuur-Leeuwarden U21 (20303),2024,U21 Division 1 Fall,211F,U21 Division 1 Fall,2025-08-06 19:08:56
656,Al-Sadd SC (656),2024,Qatar Stars League,QSL,Qatar Stars League,2025-08-06 12:58:08
9253,Newcastle United U21 (9253),2024,Premier League 2,GB21,Premier League 2,2025-08-06 20:16:10
206,Bröndby IF (206),2024,Superliga,DK1,Superliga,2025-08-06 19:02:32
4031,Cosenza Calcio (4031),2024,Serie C - Girone C,IT3C,Serie C - Girone C,2025-08-06 21:21:03
3062,Athens Kallithea (3062),2024,Super League 2,GRS2,Super League 2,2025-08-06 13:11:51
6630,Sanliurfaspor (6630),2024,2.Lig Beyaz,TR3A,2.Lig Beyaz,2025-08-06 18:24:55
969,Montpellier HSC (969),2024,Ligue 2,FR2,Ligue 2,2025-08-06 16:41:35
124312,Portland Hearts of Pine (124312),2024,USL League One,USC3,USL League One,2025-08-06 12:40:01
28334,Bergerac Périgord FC (28334),2024,,,,2025-08-06 14:40:42
986,Cambridge United (986),2024,League Two,GB4,League Two,2025-08-06 21:21:23
45604,Orlando City SC (45604),2024,Major League Soccer,MLS1,Major League Soccer,2025-08-06 20:37:41
12819,Napoli Primavera (12819),2024,Primavera 1,IJ1,Primavera 1,2025-08-06 19:59:24
210,Grêmio Foot-Ball Porto Alegrense (210),2024,Campeonato Brasileiro Série A,BRA1,Campeonato Brasileiro Série A,2025-08-06 12:42:46
25639,Hyères 83 FC (25639),2024,Championnat National 2 - Groupe C,CN2C,Championnat National 2 - Groupe C,2025-08-06 19:22:59
41128,US Granville (41128),2024,Championnat National 2 - Groupe A,CN2A,Championnat National 2 - Groupe A,2025-08-06 12:32:35
14888,US Città di Pontedera (14888),2024,Serie C - Girone B,IT3B,Serie C - Girone B,2025-08-06 18:59:18
95336,Houston Dynamo FC 2 (95336),2024,MLS Next Pro,MNP3,MLS Next Pro,2025-08-06 13:11:41
355,Bolton Wanderers (355),2024,League One,GB3,League One,2025-08-06 19:30:00
69511,Saricam Kürkcüler Spor (69511),2024,,,,2025-08-06 12:51:46
118007,Petrolul Băicoi (2011 - 2022) (118007),2024,,,,2025-08-06 21:28:48
1049,Valencia CF (1049),2024,LaLiga,ES1,LaLiga,2025-08-06 17:37:02
61,Servette FC (61),2024,Super League,C1,Super League,2025-08-06 16:43:24
990,Coventry City (990),2024,Championship,GB2,Championship,2025-08-06 20:57:18
1622,FC Viktoria Köln (1622),2024,3. Liga,L3,3. Liga,2025-08-06 17:29:38
12458,Club Deportivo Morón (12458),2024,Primera Nacional,ARG2,Primera Nacional,2025-08-06 15:47:34
5724,Randers FC (5724),2024,Superliga,DK1,Superliga,2025-08-06 18:36:56
101158,Cesena Under 18 (101158),2024,Campionato Under 18,ITJ7,Campionato Under 18,2025-08-06 17:26:21
12321,Girona FC (12321),2024,LaLiga,ES1,LaLiga,2025-08-06 13:35:11
928,Club Atlético Platense (928),2024,Torneo Clausura,ARGC,Torneo Clausura,2025-08-06 16:32:16
2262,Plymouth Argyle (2262),2024,League One,GB3,League One,2025-08-06 14:45:22
36,Fenerbahce (36),2024,Süper Lig,TR1,Süper Lig,2025-08-06 18:11:05
3166,Pau FC (3166),2024,Ligue 2,FR2,Ligue 2,2025-08-06 16:34:32
494,Sporting Club de Toulon (494),2024,Championnat National 2 - Groupe C,CN2C,Championnat National 2 - Groupe C,2025-08-06 20:39:15
4284,Sporting Kansas City (4284),2024,Major League Soccer,MLS1,Major League Soccer,2025-08-06 13:21:07
3541,La Roche Vendée Football (3541),2024,Championnat National 2 - Groupe A,CN2A,Championnat National 2 - Groupe A,2025-08-06 14:44:05
54189,RWDM Brussels (54189),2024,Challenger Pro League,BE2,Challenger Pro League,2025-08-06 20:28:27
41,Hamburger SV (41),2024,Bundesliga,L1,Bundesliga,2025-08-06 20:08:01
49754,Sassuolo Under 17 (49754),2024,Campionato Under 17 - A,ITJ4,Campionato Under 17 - A,2025-08-06 20:38:50
65791,Chengdu Rongcheng (65791),2024,Chinese Super League,CSL,Chinese Super League,2025-08-06 13:14:24
3054,Shrewsbury Town (3054),2024,League Two,GB4,League Two,2025-08-06 12:44:28
14902,Avellino Primavera (14902),2024,Primavera 2 - B,IJ2B,Primavera 2 - B,2025-08-06 13:38:46
2995,FC Paços de Ferreira (2995),2024,Liga Portugal 2,PO2,Liga Portugal 2,2025-08-06 16:35:30
9265,Manchester City U21 (9265),2024,Premier League 2,GB21,Premier League 2,2025-08-06 15:51:56
660,Shakhtar Donetsk (660),2024,Premier Liga,UKR1,Premier Liga,2025-08-06 18:49:45
8024,FC Arouca (8024),2024,Liga Portugal,PO1,Liga Portugal,2025-08-06 17:55:12
46337,Pineto Calcio (46337),2024,Serie C - Girone B,IT3B,Serie C - Girone B,2025-08-06 18:36:30
16,Borussia Dortmund (16),2024,Bundesliga,L1,Bundesliga,2025-08-06 14:48:53
9818,Giugliano Calcio 1928 (9818),2024,Serie C - Girone C,IT3C,Serie C - Girone C,2025-08-06 12:24:49
3146,Olympic Charleroi (3146),2024,Challenger Pro League,BE2,Challenger Pro League,2025-08-06 16:32:12
84679,Monza Under 18 (84679),2024,Campionato Under 18,ITJ7,Campionato Under 18,2025-08-06 16:25:42
6201,FC Banik Ostrava B (6201),2024,Chance Narodni Liga,TS2,Chance Narodni Liga,2025-08-06 20:19:04
95438,Egabrense CD (95438),2024,,,,2025-08-06 14:48:24
1194,Rotherham United (1194),2024,League One,GB3,League One,2025-08-06 14:35:12
5587,SS Juve Stabia (5587),2024,Serie B,IT2,Serie B,2025-08-06 21:26:39
1897,FC Hradec Kralove (1897),2024,Chance Liga,TS1,Chance Liga,2025-08-06 17:12:34
288,Club Estudiantes de La Plata (288),2024,Torneo Clausura,ARGC,Torneo Clausura,2025-08-06 16:20:52
